attendance,study_hours,quiz_score,assignment_score,previous_gpa,pass
43,2,95,48,5.09,0
40,3,57,34,7.02,0
88,2,55,31,5.94,0
79,4,60,47,5.55,0
71,2,88,43,6.78,0
73,9,32,40,4.8,0
67,2,77,29,9.57,0
70,9,69,97,9.21,1
47,6,49,37,8.25,0
78,1,81,33,4.64,0
65,4,44,53,8.66,0
97,1,46,77,8.85,1
73,6,70,95,8.61,1
93,4,97,41,4.68,0
93,3,76,89,7.86,1
42,3,66,55,9.01,0
98,9,58,64,7.46,1
89,6,35,55,7.88,1
51,9,41,41,6.75,0
40,5,73,97,7.17,1
93,2,40,99,4.21,0
83,8,91,80,7.83,1
44,5,35,75,4.49,0
69,2,78,52,6.61,0
69,4,50,64,5.76,0
98,9,61,55,7.27,1
96,4,93,39,4.8,0
56,4,51,37,8.15,0
87,2,78,57,8.77,1
86,6,53,86,4.98,1
62,2,28,42,4.63,0
54,7,30,35,4.87,0
76,3,29,78,9.26,1
60,3,36,88,7.17,0
53,5,87,87,6.8,1
41,3,67,40,4.64,0
50,2,71,97,7.9,0
90,9,44,97,9.21,1
78,2,40,89,8.97,1
77,2,84,31,7.76,0
99,8,82,35,4.45,1
73,9,70,33,4.67,0
77,7,55,80,4.3,0
89,3,85,90,5.54,1
73,9,34,65,4.81,0
57,3,58,51,5.56,0
69,5,89,34,6.31,0
54,9,20,63,9.66,1
66,3,42,36,7.66,0
90,7,58,60,9.01,1
73,1,76,73,8.26,0
91,4,53,63,4.68,0
96,4,60,24,8.42,1
77,7,92,46,5.65,1
72,8,32,97,7.83,1
63,1,89,98,6.05,0
54,5,25,62,9.99,1
99,7,71,50,5.58,1
69,4,22,36,5.67,0
94,4,82,73,9.58,1
81,4,68,81,4.15,0
90,6,95,51,8.18,1
56,7,66,59,8.35,1
44,2,74,32,9.02,0
68,5,83,54,9.85,1
43,4,84,24,9.85,0
49,3,86,92,4.39,0
95,7,34,48,8.93,1
56,6,51,89,7.88,1
49,7,87,44,7.88,1
56,5,37,41,4.77,0
99,6,62,85,7.9,1
59,5,54,64,9.89,1
63,7,97,88,9.47,1
44,2,77,91,6.63,0
73,5,52,20,4.24,0
45,6,33,63,6.17,0
92,6,53,94,8.96,1
41,5,80,58,8.21,1
52,7,23,73,6.76,0
82,8,78,94,4.33,1
82,7,48,48,6.56,1
87,5,25,73,6.81,0
50,1,68,35,9.57,0
90,5,59,39,7.85,1
86,2,84,65,5.87,0
96,5,88,86,7.15,1
62,5,46,84,4.4,0
94,2,99,77,9.84,1
55,5,25,72,6.16,0
70,4,32,20,6.87,0
50,1,83,85,6.13,0
93,3,81,48,8.1,1
55,1,38,89,7.97,0
47,5,95,27,8.29,0
43,4,99,48,5.61,0
79,7,62,70,5.89,1
43,5,93,52,4.75,0
95,4,39,22,7.93,0
64,2,87,79,4.24,0
42,4,63,54,7.59,0
71,2,42,88,9.22,1
42,8,21,95,9.34,1
66,3,41,39,6.69,0
68,9,76,92,6.76,1
71,4,91,58,4.46,0
89,6,26,23,8.02,0
97,5,97,38,8.93,1
90,1,75,64,5.47,0
58,9,86,62,6.53,1
60,1,35,32,9.03,0
44,8,70,32,9.26,1
57,9,99,79,5.46,1
67,9,91,76,7.3,1
81,1,31,71,5.15,0
61,2,72,72,4.61,0
60,1,94,62,9.47,1
45,2,24,91,8.92,0
40,8,46,91,8.56,1
44,5,31,61,4.29,0
80,7,36,45,9.06,1
51,2,25,42,6.63,0
65,8,24,62,6.05,0
85,6,76,96,7.28,1
73,8,47,47,4.55,0
88,1,97,28,8.54,0
53,1,88,39,7.49,0
65,7,78,75,5.12,1
84,8,52,58,5.13,1
66,3,81,70,5.11,0
48,5,69,31,4.34,0
65,1,38,98,7.53,0
96,7,88,74,9.04,1
86,5,85,97,4.1,1
96,8,66,30,4.29,0
61,8,58,45,7.44,1
86,9,87,61,8.92,1
95,7,52,46,5.96,1
69,1,32,30,6.1,0
82,3,73,57,7.58,1
87,8,26,62,5.65,1
56,3,98,38,4.16,0
65,8,33,83,8.41,1
75,1,38,25,7.75,0
40,5,73,65,7.48,0
47,4,39,61,8.45,0
88,5,48,84,8.05,1
74,8,43,91,5.24,1
91,4,82,78,6.11,1
54,4,93,71,4.76,0
86,3,76,66,4.78,0
95,7,27,26,8.06,1
61,3,81,30,9.15,0
53,3,48,80,9.78,1
65,5,93,87,7.77,1
67,5,36,44,5.1,0
62,6,85,31,4.63,0
53,8,25,45,8.88,1
63,6,77,31,7.47,1
41,1,88,62,7.71,0
84,8,47,70,8.69,1
65,8,81,56,8.22,1
53,9,60,65,9.01,1
98,9,88,72,4.34,1
95,2,60,99,8.49,1
90,2,68,32,9.11,1
46,3,68,73,5.72,0
42,1,95,76,7.84,0
86,4,90,23,5.88,0
62,4,22,94,9.75,1
85,9,29,68,4.2,0
82,9,54,26,7.48,1
86,9,99,30,5.0,1
99,7,21,73,8.27,1
84,2,43,64,5.06,0
57,5,93,42,5.41,0
97,4,57,47,6.97,1
77,8,41,76,9.49,1
74,2,45,45,5.27,0
90,6,62,44,4.87,0
54,5,74,73,8.55,1
64,2,58,48,7.0,0
94,1,48,55,9.47,1
76,8,39,33,4.88,0
67,2,60,97,7.88,1
49,7,73,54,5.4,0
78,9,39,49,4.94,0
96,9,38,36,8.1,1
56,8,85,86,7.56,1
78,9,49,99,8.53,1
61,2,72,49,5.86,0
65,6,53,64,6.69,0
83,4,41,98,6.43,1
64,4,86,70,9.9,1
56,5,25,66,5.75,0
52,3,98,72,5.77,0
59,1,46,83,6.13,0
64,8,29,57,7.39,1
43,5,92,83,5.51,0
49,3,67,26,9.49,0
42,7,89,41,5.59,0
80,7,78,60,9.37,1
84,1,78,93,4.62,0
57,9,21,29,7.94,0
86,2,48,76,9.44,1
75,5,87,26,5.01,0
86,5,84,69,9.81,1
61,8,45,71,6.72,1
73,8,29,52,9.67,1
86,7,72,20,8.06,1
47,7,98,72,5.81,1
79,6,78,79,5.13,1
88,6,41,53,5.82,0
83,9,70,23,4.56,0
58,6,67,36,4.86,0
81,2,40,23,4.63,0
80,2,41,62,6.54,0
76,5,49,23,8.77,0
45,4,44,20,4.85,0
91,2,47,90,4.78,0
65,3,84,69,7.86,1
73,7,64,92,5.18,1
98,8,87,80,4.59,1
95,6,26,54,5.0,0
98,5,68,27,9.54,1
84,1,28,43,8.93,0
45,8,55,55,6.12,0
76,3,20,69,7.93,0
96,6,29,62,7.22,1
72,3,55,46,8.06,0
92,7,92,51,8.1,1
61,7,65,97,7.77,1
60,9,51,37,5.6,0
45,5,51,47,4.23,0
45,8,25,48,6.73,0
94,8,67,35,9.35,1
87,1,57,66,7.42,0
43,5,36,78,8.99,0
69,3,93,50,9.95,1
50,1,46,23,4.98,0
69,4,73,56,8.15,1
70,8,69,36,8.05,1
63,3,54,58,9.88,1
94,2,44,67,9.91,1
48,9,47,65,8.12,1
94,5,34,67,5.46,0
42,7,23,58,8.79,0
90,2,92,23,4.64,0
70,9,46,49,8.68,1
79,9,45,49,9.46,1
76,4,38,41,6.3,0
75,4,36,94,7.78,1
63,6,62,85,6.58,1
70,6,60,31,6.63,0
45,1,61,55,5.86,0
41,9,69,37,8.57,1
59,2,59,72,9.62,1
67,5,58,90,9.64,1
50,9,42,20,5.05,0
43,4,71,77,9.25,1
54,3,66,25,8.42,0
45,7,82,89,5.52,1
93,6,88,63,4.4,1
88,8,62,91,5.61,1
69,3,67,43,9.47,1
95,5,53,38,7.8,1
77,4,59,37,8.33,0
90,4,94,49,5.54,1
96,4,80,61,8.32,1
41,8,69,52,4.17,0
54,6,86,93,6.25,1
50,3,81,31,7.76,0
47,5,77,46,4.88,0
65,6,52,58,8.94,1
90,5,94,28,5.41,0
84,6,35,40,7.91,1
83,8,67,95,6.43,1
44,7,29,48,7.58,0
45,5,57,52,4.64,0
65,6,38,81,4.1,0
93,4,55,34,9.46,1
43,9,78,21,5.62,0
58,4,82,71,8.92,1
59,1,96,63,10.0,1
72,7,65,73,5.27,1
59,7,22,37,5.59,0
88,4,93,22,7.98,1
51,3,84,26,9.79,0
86,8,27,62,9.49,1
40,5,70,57,7.02,0
65,7,92,56,8.77,1
53,4,25,77,4.81,0
77,4,58,52,9.86,1
76,8,79,78,9.79,1
50,8,47,30,4.98,0
75,2,73,87,5.8,0
52,2,56,87,4.6,0
82,3,28,41,5.63,0
42,3,75,85,8.9,1
72,1,78,63,6.27,0
45,3,21,25,4.53,0
89,6,80,61,6.05,1
95,8,77,44,9.89,1
49,6,79,76,7.78,1
44,5,59,74,6.5,0
62,4,55,35,5.0,0
49,3,56,33,9.92,0
83,4,98,58,8.93,1
41,7,37,47,5.69,0
52,1,82,70,4.42,0
79,7,41,68,4.34,0
41,1,30,28,4.72,0
59,2,77,77,7.48,0
40,4,76,64,9.57,1
76,1,96,41,6.98,0
48,9,23,51,9.06,1
56,6,26,88,6.68,0
48,1,80,88,8.25,0
50,1,73,61,8.39,0
54,6,87,72,5.04,0
63,4,98,78,6.17,1
77,4,20,93,7.82,1
94,6,74,58,4.42,1
74,7,22,34,6.17,0
69,9,97,90,7.21,1
70,5,57,48,9.98,1
88,9,20,22,6.85,1
44,4,57,29,8.9,0
99,2,48,48,6.59,0
83,3,24,98,8.78,1
89,1,93,54,7.57,1
53,6,40,25,9.32,0
92,6,90,31,6.47,1
95,1,86,57,7.63,1
50,3,66,96,7.78,1
48,5,54,38,6.5,0
73,3,87,86,4.87,0
51,3,88,27,4.56,0
74,3,20,27,4.1,0
74,5,87,66,9.24,1
40,5,31,23,5.42,0
79,4,79,70,5.27,0
61,1,46,86,8.42,0
99,5,75,64,5.92,1
68,5,42,27,7.04,0
47,4,44,35,4.98,0
50,6,40,96,9.76,1
80,4,80,86,9.11,1
76,7,82,28,9.18,1
53,7,71,79,6.44,1
99,2,44,97,8.57,1
69,3,74,96,4.86,0
74,1,65,90,4.05,0
60,8,51,34,4.12,0
76,9,74,90,7.52,1
44,4,24,60,6.73,0
58,6,55,41,7.11,0
98,9,68,43,4.04,1
53,6,77,63,6.54,1
65,9,58,20,8.31,1
43,4,99,29,6.66,0
64,8,80,99,8.39,1
84,9,28,91,5.4,1
81,4,25,75,8.88,1
64,5,54,69,7.53,1
57,8,58,31,5.26,0
79,6,41,79,5.42,0
47,7,60,45,7.77,1
78,3,24,97,8.98,1
79,7,61,60,6.49,1
53,8,95,55,5.55,1
71,6,99,42,9.2,1
90,9,86,62,8.02,1
77,6,49,25,6.69,0
72,9,76,88,6.93,1
62,4,92,62,5.23,0
54,8,48,44,7.76,1
72,4,56,37,6.15,0
64,2,32,81,9.97,0
56,9,51,32,6.88,1
72,5,65,62,6.92,1
86,4,42,97,7.4,1
94,2,64,47,9.5,1
41,1,36,37,8.8,0
53,7,85,78,6.71,1
92,6,25,79,8.31,1
79,2,37,82,7.52,0
79,8,41,76,6.95,1
90,4,52,70,5.15,0
78,8,49,75,6.78,1
90,7,51,46,5.47,1
45,5,61,51,9.49,1
45,8,97,28,6.01,0
42,9,29,87,9.71,1
46,5,55,65,7.2,0
90,5,53,86,7.79,1
47,2,92,45,7.26,0
81,5,47,27,4.78,0
91,3,30,25,6.25,0
54,7,97,99,4.59,1
86,5,58,43,7.74,1
68,8,66,67,6.68,1
72,1,38,64,8.67,0
91,3,34,32,5.32,0
69,3,47,88,4.99,0
78,9,43,44,6.44,1
66,5,91,39,9.56,1
75,9,28,85,8.26,1
68,9,66,93,6.51,1
77,1,52,64,7.1,0
96,2,81,66,4.51,0
72,5,38,82,9.91,1
76,4,86,95,8.0,1
66,9,93,96,5.71,1
94,7,59,74,7.51,1
72,6,66,94,4.66,1
43,7,84,38,9.8,1
61,1,48,54,5.05,0
41,1,69,72,7.89,0
49,8,32,45,5.47,0
44,2,20,33,8.31,0
98,9,53,64,8.66,1
49,7,67,63,8.04,1
72,6,96,84,7.69,1
93,1,67,70,9.35,1
77,1,68,62,4.47,0
52,2,83,42,5.99,0
70,6,80,75,5.49,1
86,6,48,38,9.93,1
75,2,58,95,6.34,0
84,1,45,74,8.4,0
63,5,36,79,8.11,1
91,5,90,78,5.27,1
95,2,32,52,5.43,0
54,6,88,38,5.69,0
68,9,45,47,6.47,1
47,2,68,71,5.41,0
44,2,86,68,4.12,0
68,3,26,56,9.28,0
86,7,77,45,9.79,1
43,6,68,59,6.05,0
51,8,72,99,6.03,1
84,8,84,57,4.04,1
41,6,81,96,8.08,1
66,3,36,73,8.95,0
70,3,62,41,4.88,0
90,1,44,35,4.96,0
90,7,22,47,8.74,1
75,5,98,54,7.7,1
75,4,48,79,4.27,0
65,4,51,64,7.74,0
82,4,45,65,5.85,0
66,6,35,91,6.21,0
44,8,44,74,8.62,1
59,8,73,45,8.87,1
50,5,47,44,6.4,0
49,6,92,84,9.68,1
79,4,75,25,6.44,0
77,9,84,42,8.63,1
45,8,99,83,6.9,1
47,1,60,62,9.39,0
62,2,70,42,9.45,0
86,9,90,49,4.52,1
65,8,97,96,9.62,1
85,3,48,37,8.95,0
82,8,38,98,8.75,1
51,1,85,40,5.21,0
65,4,60,76,8.83,1
52,3,64,42,9.1,0
79,6,34,64,5.73,0
57,7,22,63,9.71,1
64,4,30,66,4.3,0
72,7,72,59,4.9,1
86,9,65,70,7.23,1
79,2,49,61,7.45,0
99,3,76,26,7.87,1
82,5,37,69,4.1,0
51,3,70,67,9.76,1
83,8,67,25,4.27,0
75,8,85,28,4.86,1
87,8,27,76,4.08,0
43,9,41,50,7.4,1
44,4,25,40,9.59,0
95,5,95,59,8.0,1
76,5,76,64,8.94,1
47,8,55,96,4.08,0
81,7,98,68,7.25,1
88,9,76,39,6.76,1
67,8,68,36,6.99,1
70,2,64,47,4.43,0
97,4,85,60,8.11,1
48,6,96,85,7.02,1
93,2,64,44,8.59,1
90,7,98,77,6.91,1
68,3,39,60,4.9,0
53,3,83,25,7.89,0
79,2,86,94,5.03,0
80,8,22,57,9.23,1
61,6,73,25,7.68,0
50,1,97,64,4.94,0
62,1,83,94,9.77,1
40,7,59,33,7.11,0
85,8,78,85,4.44,1
76,5,74,59,7.76,1
60,5,81,22,5.52,0
